Identifiant,Ancien_nom_officiel,Identifiant_du_nom_officiel,Nom_officiel,Type_entite,Latitude,Longitude,Feuillet_cartographique,Code_geographique,Municipalite,Designation,Date_decision,IDE,Origine_linguistique,Partie_specifique,Partie_generique,Sexe
108371,"Aris Sakahikan",880,"Alice, Lac",Lac,47.079721,-73.536944,31P04,35906,Rivière-de-la-Savane,Territoire non organisé,1981-05-07,cd2fa98dbbe411d892e2080020a0f4c9,Attikamek,Aris Sakahikan,,
62658,"Ti-Foy, Lac",906,"Alizé, Lac de l'",Lac,46.625832,-73.155277,31I11,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1972-01-11,d1b8db45bbe411d892e2080020a0f4c9,Français,Ti-Foy,Lac,
9477,"Caché, Lac",933,"Allard, Lac",Lac,46.544721,-73.110000,31I11,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1975-03-06,d53557e9bbe411d892e2080020a0f4c9,Français,Caché,Lac,
70600,"Neuf Milles, Lac",935,"Allard, Lac",Lac,47.341438,-78.813388,31M07,85065,Belleterre,Ville,1975-09-23,d542292bbbe411d892e2080020a0f4c9,Français,Neuf Milles,Lac,
68836,"Croche, Rivière",942,"Allard, Rivière",Rivière,50.365469,-63.583199,12L05,98040,Havre-Saint-Pierre,Municipalité,1976-05-11,d6e41961bbe411d892e2080020a0f4c9,Français,Croche,Rivière,
81343,"Russeltown, Ruisseau",965,"Allen, Ruisseau",Ruisseau,45.082777,-73.763611,31H04,69017,Saint-Chrysostome,Municipalité,1977-08-08,d8d31833bbe411d892e2080020a0f4c9,Anglais,Russeltown,Ruisseau,
100224,"Chaleur, Lac",980,"Alliat, Lac",Lac,47.271649,-71.862213,21M05,34902,Lac-Blanc,Territoire non organisé,1981-04-02,daa1488fbbe411d892e2080020a0f4c9,Français,Chaleur,Lac,
31765,"Jumeau, Lac",984,"Alliés, Lac des",Lac,47.376110,-71.353333,21M06,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,dc2e5132bbe411d892e2080020a0f4c9,Français,Jumeau,Lac,NA
96950,"Delisle",1013,"Alma",Municipalité,48.549702,-71.653425,22D12,93042,Alma,Ville,2001-04-11,de231c65bbe411d892e2080020a0f4c9,Français,Delisle,,
28126,"Haut, Petit lac d'en",1056,"Alphée, Petit lac",Lac,48.186666,-70.015833,22D01,94205,Petit-Saguenay,Municipalité,1971-10-08,e5192f7abbe411d892e2080020a0f4c9,Français,Haut,Petit lac d'en,
73885,"Vert, Lac",1064,"Alphonse, Lac",Lac,46.761944,-72.997499,31I15,36033,Shawinigan,Ville,1977-02-18,e54631f1bbe411d892e2080020a0f4c9,Français,Vert,Lac,
104625,"Amikotcitc",1068,"Alphonse, Lac",Lac,48.745405,-75.506333,32B12,90012,La Tuque,Ville,1981-07-09,e6d95515bbe411d892e2080020a0f4c9,Attikamek,Amikotcitc,,
184422,"Alquier, Pointe d'",1073,"D'Alquier, Pointe",Pointe,52.557500,-78.763611,33D10,99060,Eeyou Istchee Baie-James,Gouvernement régional,1986-12-18,eeb02b1abbe411d892e2080020a0f4c9,Français,Alquier,Pointe d',
79130,"Altona, Lac",1093,"Altura, Lac",Lac,49.072777,-79.434444,32E03,99060,Eeyou Istchee Baie-James,Gouvernement régional,1978-08-17,f0fdebb9bbe411d892e2080020a0f4c9,Inconnu,Altona,Lac,
54932,"Roy, Lac",1099,"Alverna, Lac",Lac,45.998333,-74.215833,31G16,78005,Val-Morin,Municipalité,1970-02-27,f2ed389ebbe411d892e2080020a0f4c9,Français,Roy,Lac,
80959,"Lonnguist, Lac",1119,"Amanites, Lac des",Lac,47.108333,-72.378610,31P01,34906,Lac-Lapeyrère,Territoire non organisé,1977-08-08,f54c374bbbe411d892e2080020a0f4c9,Inconnu,Lonnguist,Lac,
22140,"Fee, Lac",1160,"Amende, Lac de l'",Lac,47.251666,-72.031557,31P08,34904,Linton,Territoire non organisé,1971-06-01,fb61fc80bbe411d892e2080020a0f4c9,Anglais,Fee,Lac,
1232,"Amos-Est",1229,"Amos",Municipalité,48.564766,-78.112750,32D09,88057,Amos,Ville,1987-05-11,049ccf7dbbe511d892e2080020a0f4c9,Français,Amos-Est,,
56507,"Saint-Félix-de-Dalquier",1229,"Amos",Municipalité,48.683333,-78.116666,32D09,88057,Amos,Ville,2025-03-13,049ccf7dbbe511d892e2080020a0f4c9,Français,Saint-Félix-de-Dalquier,,H
55737,"Saint-Benoît-Joseph-Labre",1250,"Amqui",Municipalité de paroisse,48.462375,-67.433232,22B06,07047,Amqui,Ville,1991-04-12,0691257abbe511d892e2080020a0f4c9,Français,Saint-Benoît-Joseph-Labre,,
70540,"Moulin, Lac du",1338,"Andonias, Lac",Lac,48.695277,-72.861111,32A10,91902,Lac-Ashuapmushuan,Territoire non organisé,1975-09-23,125f74abbbe511d892e2080020a0f4c9,Français,Moulin,Lac du,
25702,"Godbout, Lac",1349,"André, Lac",Lac,46.689166,-70.744999,21L10,19045,Saint-Nérée-de-Bellechasse,Municipalité,1975-01-21,14657de5bbe511d892e2080020a0f4c9,Français,Godbout,Lac,
77314,"Cœur, Lac en",1350,"André, Lac",Lac,46.831943,-73.969166,31I13,62906,Baie-de-la-Bouteille,Territoire non organisé,1978-08-17,1474e736bbe511d892e2080020a0f4c9,Français,Cœur,Lac en,
5126,"Berenson, Lac",1359,"André, Lac",Lac,49.371666,-69.728610,22F05,95902,Lac-au-Brochet,Territoire non organisé,1974-08-02,14db713dbbe511d892e2080020a0f4c9,Anglais,Berenson,Lac,
1382,"Andrew, Ruisseau",1366,"André, Ruisseau",Ruisseau,45.734444,-74.681666,31G10,76052,Grenville-sur-la-Rouge,Municipalité,1970-03-04,16afbc14bbe511d892e2080020a0f4c9,Anglais,Andrew,Ruisseau,
31584,"Jos-Vallières, Île à",1375,"André-Nadeau, Île à",Île,46.633610,-71.234444,21L11,26070,Saint-Lambert-de-Lauzon,Municipalité,1974-03-28,16f7737abbe511d892e2080020a0f4c9,Français,Jos-Vallières,Île à,
51158,"Prévost, Lac",1400,"Anémones, Lac des",Lac,47.528888,-71.246944,21M11,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,1aeb6a0cbbe511d892e2080020a0f4c9,Français,Prévost,Lac,
20962,"English Head",1449,"Anglais, Cap aux",Cap,49.902222,-64.488610,22H16,98020,L'Île-d'Anticosti,Municipalité,1974-09-12,2147fb40bbe511d892e2080020a0f4c9,Anglais,English Head,,
1003,"Allumette, Lac à l'",1479,"Anguille, Lac à l'",Lac,46.474166,-73.069443,31I06,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1975-03-06,26ed7268bbe511d892e2080020a0f4c9,Français,Allumette,Lac à l',
1007,"Allumettes, Lac des",1479,"Anguille, Lac à l'",Lac,46.474166,-73.069443,31I06,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1975-03-06,26ed7268bbe511d892e2080020a0f4c9,Français,Allumettes,Lac des,
92331,"Aqueduc, Lac de l'",1483,"Anguille, Lac à l'",Lac,48.430554,-68.415833,22C08,10030,Saint-Anaclet-de-Lessard,Municipalité de paroisse,1979-10-29,27062a8abbe511d892e2080020a0f4c9,Français,Aqueduc,Lac de l',
77610,"Sans Bout, Baie",1500,"Anicet, Lac",Lac,46.671666,-74.130832,31J09,62912,Saint-Guillaume-Nord,Territoire non organisé,1978-08-17,292d2947bbe511d892e2080020a0f4c9,Français,Sans Bout,Baie,
66679,"Washington, Lac",1537,"Anne, Lac",Lac,46.396944,-73.522499,31I05,62075,Saint-Damien,Municipalité de paroisse,1975-03-06,2d978863bbe511d892e2080020a0f4c9,Anglais,Washington,Lac,
9354,"CN, Lac du",1550,"Anne-Marie, Lac",Lac,49.177777,-73.672777,32H04,91902,Lac-Ashuapmushuan,Territoire non organisé,1971-06-18,2fa1622dbbe511d892e2080020a0f4c9,Français,CN,Lac du,
41297,"Mine, Lac la",1573,"Anodin, Lac",Lac,46.545555,-74.111944,31J09,62912,Saint-Guillaume-Nord,Territoire non organisé,1972-01-11,33b563e2bbe511d892e2080020a0f4c9,Français,Mine,Lac la,
1577,"Anomalie, Lac de l'",1583,"Anorak, Lac",Lac,51.586110,-73.007222,32P11,99914,Toponyme à venir,Territoire non organisé,1969-05-14,3581e689bbe511d892e2080020a0f4c9,Français,Anomalie,Lac de l',
1466,"Anglo, Lac",1585,"Anouk, Lac",Lac,47.646280,-71.415763,21M11,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,359c4c5bbbe511d892e2080020a0f4c9,Anglais,Anglo,Lac,
15674,"Cove, La",1590,"Anse, L'",Anse,48.501111,-64.176666,22A09,02005,Percé,Ville,1975-01-21,35d66f2fbbe511d892e2080020a0f4c9,Français,Cove,La,
4365,"Beaupré, Lac",1684,"Antoine, Lac",Lac,46.252222,-73.667221,31I05,62020,Sainte-Béatrix,Municipalité,1975-03-06,4b383878bbe511d892e2080020a0f4c9,Français,Beaupré,Lac,
1722,"Anty, Anse à",434662,"Conti, Anse de",Anse,47.164166,-70.434166,21M01,18070,Saint-Antoine-de-l'Isle-aux-Grues,Municipalité de paroisse,2018-06-04,4f8599b7bbe511d892e2080020a0f4c9,Inconnu,Anty,Anse à,NA
24815,"Gauthier, Lac",1748,"Apica, Lac",Lac,47.971579,-71.438171,21M14,93904,Lac-Moncouche,Territoire non organisé,1971-06-01,53678eebbbe511d892e2080020a0f4c9,Français,Gauthier,Lac,
9751,"Call, Lac",1771,"Appel, Lac de l'",Lac,47.423785,-72.297152,31P08,90012,La Tuque,Ville,1971-06-01,576b62fbbbe511d892e2080020a0f4c9,Anglais,Call,Lac,
84409,"Tennis-Beaudoin, Lac à",1825,"Aralies, Lac des",Lac,46.448610,-74.081943,31J08,62912,Saint-Guillaume-Nord,Territoire non organisé,1978-08-17,60d0a15bbbe511d892e2080020a0f4c9,Français,Tennis-Beaudoin,Lac à,
9073,"Budworm, Lac",1828,"Aram, Lac",Lac,47.314463,-72.478546,31P08,34906,Lac-Lapeyrère,Territoire non organisé,1971-06-01,6117474ebbe511d892e2080020a0f4c9,Anglais,Budworm,Lac,
44274,"Noël, Lac à",1837,"Arbout, Lac",Lac,46.638610,-73.357777,31I11,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1972-01-11,6319a705bbe511d892e2080020a0f4c9,Français,Noël,Lac à,
48991,"Pierre, Lac",1864,"Archambault, Lac",Lac,47.414608,-71.262311,21M06,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,6791739ebbe511d892e2080020a0f4c9,Français,Pierre,Lac,
18894,"Doré, Lac",1921,"Arès, Lac",Lac,49.493055,-74.170277,32G08,91902,Lac-Ashuapmushuan,Territoire non organisé,1971-06-18,7b27567fbbe511d892e2080020a0f4c9,Français,Doré,Lac,
184423,"Argenson, Pointe d'",1939,"D'Argenson, Pointe",Pointe,61.084721,-70.393333,25E01,99902,Rivière-Koksoak,Territoire non organisé,1986-12-18,7d4c325fbbe511d892e2080020a0f4c9,Français,Argenson,Pointe d',
1970,"Argenteuil",,,Division de recensement,45.800000,-74.466666,31G16,77060,Wentworth-Nord,Municipalité,1994-08-19,c9752b0b0fa0435b894bc7f6723cc9dd,Français,Argenteuil,,
1157,"Amélion, Lac",2010,"Arlelion, Lac",Lac,48.821804,-77.886952,32C13,88065,Saint-Dominique-du-Rosaire,Municipalité,1970-10-16,873ff525bbe511d892e2080020a0f4c9,Français,Amélion,Lac,
27825,"Hamelin, Lac",2010,"Arlelion, Lac",Lac,48.821804,-77.886952,32C13,88065,Saint-Dominique-du-Rosaire,Municipalité,1970-10-16,873ff525bbe511d892e2080020a0f4c9,Français,Hamelin,Lac,
806,"Alex, Lac",2016,"Arlette, Lac",Lac,48.653775,-75.871974,32B12,89040,Senneterre,Ville,1973-11-20,88fc994bbbe511d892e2080020a0f4c9,Indifférencié,Alex,Lac,
72121,"Truite, Lac de la",2063,"Armstrong, Lac",Lac,46.086944,-74.736666,31J02,78070,Amherst,Municipalité de canton,1975-12-02,8eab3743bbe511d892e2080020a0f4c9,Français,Truite,Lac de la,
318986,"Argnatalik, Lac",2080,"Arnatalik, Lac",Lac,58.463055,-69.760000,24K05,99902,Rivière-Koksoak,Territoire non organisé,1996-03-29,908a578fbbe511d892e2080020a0f4c9,Inuktitut,Argnatalik,Lac,
11527,"Catherine, Lac",2084,"Arnaudeau, Lac",Lac,47.514641,-71.430741,21M11,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,92232002bbe511d892e2080020a0f4c9,Français,Catherine,Lac,
32054,"Kapisiliqanngituq, Lac",2089,"Arnoix, Lac",Lac,58.581110,-77.351388,34K11,99904,Baie-d'Hudson,Territoire non organisé,1972-02-12,92468686bbe511d892e2080020a0f4c9,Inuktitut,Kapisiliqanngituq,Lac,
77654,"Grondin, Lac",2168,"Arsène, Lac",Lac,46.841666,-74.089444,31J16,62908,Lac-Matawin,Territoire non organisé,1978-08-17,9b4a1cefbbe511d892e2080020a0f4c9,Français,Grondin,Lac,
100223,"Pierrot, Petit lac",2178,"Artagnan, Lac",Lac,47.036944,-71.932221,21M04,34128,Saint-Raymond,Ville,1981-04-02,9cf89047bbe511d892e2080020a0f4c9,Français,Pierrot,Petit lac,
2187,"Arthabaska",,,Division de recensement,46.000000,-72.000000,31I01,39077,Warwick,Ville,1994-08-19,b0e608c605d64e268126cc5f56ef150d,Cri,Arthabaska,,
337881,"Prison, Île de la",2189,"Arthur, Île",Île,45.283888,-74.172221,31G08,71040,Coteau-du-Lac,Ville,1997-08-14,9eadba60bbe511d892e2080020a0f4c9,Français,Prison,Île de la,
73877,"Orignal, Lac",2193,"Arthur, Lac",Lac,46.780554,-72.986944,31I15,36033,Shawinigan,Ville,1977-02-18,9ec75ce4bbe511d892e2080020a0f4c9,Français,Orignal,Lac,
59571,"Shugy, Lac",2255,"Asaki, Lac",Lac,47.178504,-76.718160,31N02,83902,Lac-Pythonga,Territoire non organisé,1973-01-16,a79feba8bbe511d892e2080020a0f4c9,Algonquin,Shugy,Lac,
2261,"Asbestos",441990,"Val-des-Sources",Ville,45.777407,-71.938444,21E13,40043,Val-des-Sources,Ville,2021-03-18,a7b3258bbbe511d892e2080020a0f4c9,Anglais,Asbestos,,NA
63779,"Trois-Lacs",441990,"Val-des-Sources",Municipalité,45.777407,-71.938444,21E13,40043,Val-des-Sources,Ville,2000-01-20,a7b3258bbbe511d892e2080020a0f4c9,Français,Trois-Lacs,,
100222,"Josée, Lac",2280,"Ascros, Lac",Lac,47.167077,-71.907341,21M04,34904,Linton,Territoire non organisé,1981-04-02,a969fd53bbe511d892e2080020a0f4c9,Français,Josée,Lac,
80619,"Bullpout, Lac",2314,"Aspect, Lac",Lac,45.718610,-75.504444,31G12,80087,Notre-Dame-de-la-Salette,Municipalité,1970-03-06,ab546843bbe511d892e2080020a0f4c9,Anglais,Bullpout,Lac,
40104,"McDuff, Île",2316,"Asperges, Île aux",Île,45.696944,-73.474166,31H11,59020,Varennes,Ville,1975-01-21,ab6187a5bbe511d892e2080020a0f4c9,Anglais,McDuff,Île,
2311,"Askyshoanipi, Lac",2322,"Asquiche, Lac",Lac,50.449444,-66.886388,22J07,97904,Lac-Walker,Territoire non organisé,1975-04-08,acff0b0abbe511d892e2080020a0f4c9,Innu,Askyshoanipi,Lac,
277051,"T, Lac",2383,"Atalante, Lac",Lac,47.066341,-75.169991,31O03,79922,Lac-Douaire,Territoire non organisé,1992-04-24,b40aa1f5bbe511d892e2080020a0f4c9,Français,T,Lac,
108355,"Tenis Sakahikan",2391,"Atenis, Lac",Lac,47.234933,-73.742438,31P04,35906,Rivière-de-la-Savane,Territoire non organisé,1981-05-07,b42c81dabbe511d892e2080020a0f4c9,Langue amérindienne indéterminée,Tenis Sakahikan,,
227761,"Tibia, Lac",2418,"Atisocagamac, Lac",Lac,49.056111,-69.725554,22F04,95902,Lac-au-Brochet,Territoire non organisé,1993-03-26,b5edb9e4bbe511d892e2080020a0f4c9,Français,Tibia,Lac,
85019,"Mistinikw, Île",2421,"Atkinson, Île",Île,56.144166,-74.513611,34B02,99904,Baie-d'Hudson,Territoire non organisé,1978-08-17,b5f497b5bbe511d892e2080020a0f4c9,Cri,Mistinikw,Île,
23950,"Frères, Pointe des",2422,"Atkinson, Pointe",Pointe,46.763333,-71.236388,21L14,25213,Lévis,Ville,1974-03-28,b5fad946bbe511d892e2080020a0f4c9,Français,Frères,Pointe des,
81617,"Tente à Coton, Lac",2450,"Attelles, Lac des",Lac,47.320799,-73.266988,31P06,90012,La Tuque,Ville,1977-08-08,d3c77a0fbbe511d892e2080020a0f4c9,Français,Tente à Coton,Lac,
100221,"Mal de Tête, Lac",2477,"Aube, Lac",Lac,47.197410,-71.830182,21M04,34902,Lac-Blanc,Territoire non organisé,1981-04-02,d6895940bbe511d892e2080020a0f4c9,Français,Mal de Tête,Lac,
49590,"Pipe, Lac la",2490,"Aubert, Lac",Lac,47.260555,-71.463888,21M06,22035,Stoneham-et-Tewkesbury,Municipalité de cantons unis,1971-06-01,d89dba5abbe511d892e2080020a0f4c9,Français,Pipe,Lac la,
49511,"Pins, Pointe aux",2510,"Aubin, Pointe",Pointe,46.688055,-71.507500,21L12,33095,Saint-Antoine-de-Tilly,Municipalité,1988-03-09,dc99791abbe511d892e2080020a0f4c9,Français,Pins,Pointe aux,
81852,"D'Haudebourg",2555,"D'Audhebourg",Canton,51.083333,-59.000000,12O03,98014,Gros-Mécatina,Municipalité,1978-08-17,e397545ebbe511d892e2080020a0f4c9,Français,D'Haudebourg,,
59529,"Ship, Lac",2579,"Auger, Lac",Lac,46.522777,-74.298888,31J09,62910,Lac-Legendre,Territoire non organisé,1972-01-11,e7b36c63bbe511d892e2080020a0f4c9,Anglais,Ship,Lac,
33467,"Lefoley, Plage",2587,"Mauger, Plage",Plage,48.502769,-64.174518,22A09,02005,Percé,Ville,1975-01-21,e833bffabbe511d892e2080020a0f4c9,Inconnu,Lefoley,Plage,
54835,"Rourke, Lac",2610,"Augustin, Lac",Lac,50.056388,-78.494166,32L01,99060,Eeyou Istchee Baie-James,Gouvernement régional,1970-07-15,ec6e356fbbe511d892e2080020a0f4c9,Français,Rourke,Lac,
118025,"Auyuittuq, Pointe",2614,"Aujuittuq, Pointe",Pointe,59.826666,-69.581388,24N13,99902,Rivière-Koksoak,Territoire non organisé,1989-09-06,ee333e03bbe511d892e2080020a0f4c9,Inuktitut,Auyuittuq,Pointe,
24615,"Garon, Lac",2638,"Aulnes, Lac des",Lac,46.366111,-74.186388,31J08,62060,Saint-Donat,Municipalité,1974-01-22,f28a3c29bbe511d892e2080020a0f4c9,Français,Garon,Lac,
30258,"Isidore, Lac",2638,"Aulnes, Lac des",Lac,46.366111,-74.186388,31J08,62060,Saint-Donat,Municipalité,1974-01-22,f28a3c29bbe511d892e2080020a0f4c9,Français,Isidore,Lac,
66842,"Weedy, Lac",2638,"Aulnes, Lac des",Lac,46.366111,-74.186388,31J08,62060,Saint-Donat,Municipalité,1974-01-22,f28a3c29bbe511d892e2080020a0f4c9,Anglais,Weedy,Lac,
78854,"Aulnaies, Rivière des",2644,"Aulnes, Rivière aux",Rivière,48.880779,-72.567349,32A15,92040,Normandin,Ville,1978-08-17,f2d01ecebbe511d892e2080020a0f4c9,Français,Aulnaies,Rivière des,
365717,"Alder, Ruisseau",2648,"Aulnes, Ruisseau des",Section de cours d'eau,46.042499,-75.353888,31J03,80135,Duhamel,Municipalité,2000-11-09,f3049c51bbe511d892e2080020a0f4c9,Anglais,Alder,Ruisseau,
60344,"Soumis, Lac",2701,"Aurore, Lac de l'",Lac,46.463888,-73.605555,31I05,62080,Saint-Zénon,Municipalité,1975-03-06,fa727779bbe511d892e2080020a0f4c9,Français,Soumis,Lac,
92812,"East Bolton",2711,"Austin",Municipalité,45.186560,-72.280166,31H01,45085,Austin,Municipalité,1968-12-05,fc2dbc11bbe511d892e2080020a0f4c9,Anglais,East Bolton,,
184433,"Avaugour, Pointe d'",2754,"D'Avaugour, Pointe",Pointe,61.067777,-70.424999,25E01,99902,Rivière-Koksoak,Territoire non organisé,1986-12-18,01b12b56bbe611d892e2080020a0f4c9,Français,Avaugour,Pointe d',
